,location,total_sqft,bath,price,BHK,price_per_sqft_in_thousand
2187,other,2800.0,4.0,200.0,5,7.142857142857143
2188,bommanahalli,1000.0,2.0,29.9,2,2.99
2189,other,1190.0,2.0,68.0,2,5.714285714285714
2190,2nd stage nagarbhavi,1350.0,4.0,200.0,4,14.814814814814815
2191,hebbal,3067.0,4.0,230.0,4,7.499184871209651
2192,sarjapur road,1929.0,4.0,103.0,3,5.339554173146708
2193,ramamurthy nagar,1525.0,3.0,100.0,3,6.557377049180328
2194,other,1775.0,3.0,110.0,3,6.197183098591549
2195,banashankari,1125.0,2.0,63.0,2,5.6
2196,other,900.0,2.0,42.0,2,4.666666666666667
2197,sarjapur road,1155.0,2.0,58.0,2,5.021645021645021
2198,hulimavu,1200.0,4.0,75.0,4,6.25
2199,sonnenahalli,1268.0,2.0,73.0,2,5.757097791798107
2200,other,1500.0,3.0,88.0,3,5.866666666666666
2201,electronic city,630.0,1.0,47.0,1,7.4603174603174605
2202,seegehalli,1525.0,3.0,65.0,3,4.262295081967213
2203,kaggadasapura,1060.0,2.0,48.0,2,4.528301886792453
2204,lingadheeranahalli,1687.0,3.0,127.0,3,7.528156490812092
2205,thanisandra,1847.0,3.0,123.0,3,6.659447753113157
2206,begur road,1410.0,2.0,53.0,3,3.7588652482269502
2207,7th phase jp nagar,1075.0,2.0,42.99,2,3.9990697674418603
2208,rajaji nagar,3526.0,4.0,492.0,4,13.953488372093023
2209,other,3000.0,3.0,338.0,3,11.266666666666667
2210,basavangudi,1500.0,2.0,143.0,3,9.533333333333333
2211,other,1010.0,2.0,46.0,2,4.554455445544554
2212,haralur road,1875.0,3.0,110.0,3,5.866666666666666
2213,other,1200.0,6.0,137.0,5,11.416666666666666
2214,kanakpura road,983.0,2.0,50.6,2,5.147507629704985
2215,other,1101.0,2.0,65.0,2,5.903723887375113
2216,other,1140.0,2.0,76.0,2,6.666666666666667
2217,sarjapur road,1215.0,2.0,110.0,2,9.053497942386832
2218,kengeri satellite town,1007.0,2.0,42.0,2,4.1708043694141015
2219,bellandur,2039.0,3.0,168.0,3,8.239333006375674
2220,ulsoor,1020.0,3.0,110.0,3,10.784313725490197
2221,other,1198.0,2.0,84.0,2,7.011686143572621
2222,other,4000.0,4.0,520.0,4,13.0
2223,other,1470.0,4.0,34.5,4,2.3469387755102042
2224,other,1370.0,2.0,75.0,2,5.474452554744525
2225,other,1316.0,2.0,55.5,2,4.217325227963526
2226,kaggadasapura,1350.0,3.0,55.5,3,4.111111111111111
2227,other,1050.0,2.0,43.0,2,4.095238095238095
2228,kr puram,1128.76,3.0,47.405,3,4.199741309047096
2229,electronic city,921.0,2.0,34.0,2,3.6916395222584146
2230,kundalahalli,1010.0,2.0,49.27,2,4.8782178217821786
2231,kr puram,1015.0,2.0,43.0,2,4.236453201970443
2232,tc palaya,1200.0,2.0,66.5,3,5.541666666666667
2233,lakshminarayana pura,1179.0,2.0,75.0,2,6.361323155216285
2234,other,1850.0,4.0,86.0,4,4.648648648648648
2235,kammasandra,870.0,2.0,24.0,2,2.7586206896551726
2236,bellandur,1605.0,3.0,85.0,3,5.29595015576324
2237,other,2800.0,4.0,89.0,4,3.1785714285714284
2238,malleshwaram,2475.0,4.0,320.0,3,12.929292929292929
2239,other,3000.0,2.0,510.0,2,17.0
2240,other,2400.0,7.0,110.0,6,4.583333333333333
2241,other,1000.0,1.0,55.0,2,5.5
2242,ramamurthy nagar,1200.0,2.0,80.0,2,6.666666666666667
2243,other,1200.0,2.0,125.0,2,10.416666666666666
2244,kammasandra,1200.0,2.0,66.0,2,5.5
2245,other,1200.0,2.0,50.0,2,4.166666666666667
2246,hennur,1255.0,2.0,57.5,2,4.581673306772909
2247,hosur road,1085.0,2.0,30.38,2,2.8
2248,kanakpura road,1592.0,3.0,125.0,3,7.851758793969849
2249,other,1313.0,2.0,58.27,2,4.437928408225438
2250,kogilu,1934.0,3.0,150.0,3,7.755946225439503
2251,harlur,1200.0,2.0,49.5,2,4.125
2252,uttarahalli,3600.0,6.0,120.0,6,3.3333333333333335
2253,old madras road,935.0,2.0,45.0,2,4.81283422459893
2254,bommasandra,877.0,2.0,30.0,2,3.420752565564424
2255,other,936.0,2.0,42.0,2,4.487179487179487
2256,other,1470.0,2.0,110.0,3,7.482993197278912
2257,other,1050.0,1.0,70.0,1,6.666666666666667
2258,hennur road,1232.0,2.0,69.61,2,5.650162337662338
2259,ambedkar nagar,2225.0,4.0,169.0,3,7.595505617977528
2260,other,1200.0,2.0,80.0,3,6.666666666666667
2261,other,1901.0,3.0,119.0,3,6.259863229879011
2262,sarjapur road,1819.0,3.0,100.0,3,5.497526113249038
2263,other,1464.0,3.0,56.0,3,3.8251366120218577
2264,banashankari,2400.0,2.0,460.0,2,19.166666666666668
2265,old madras road,3715.0,6.0,200.5,4,5.397039030955585
2266,9th phase jp nagar,5000.0,4.0,290.0,4,5.8
2267,other,1200.0,4.0,169.0,4,14.083333333333334
2268,other,1256.0,2.0,60.0,2,4.777070063694268
2269,7th phase jp nagar,1100.0,2.0,44.0,2,4.0
2270,tc palaya,4800.0,3.0,302.0,4,6.291666666666667
2271,kothanur,1435.0,3.0,70.0,3,4.878048780487805
2272,6th phase jp nagar,3245.0,4.0,250.0,4,7.704160246533128
2273,sarjapur road,1845.0,4.0,110.0,3,5.9620596205962055
2274,jigani,2400.0,4.0,130.0,3,5.416666666666667
2275,hsr layout,1140.0,2.0,46.0,2,4.035087719298246
2276,ulsoor,1200.0,2.0,60.0,2,5.0
2277,talaghattapura,2254.0,3.0,170.0,3,7.542147293700089
2278,frazer town,1750.0,3.0,150.0,3,8.571428571428571
2279,other,1020.0,2.0,37.0,2,3.627450980392157
2280,bommanahalli,515.0,1.0,25.0,1,4.854368932038835
2281,lingadheeranahalli,1893.0,3.0,140.0,3,7.3956682514527206
2282,other,3025.0,3.0,500.0,3,16.52892561983471
2283,other,830.0,2.0,34.0,2,4.096385542168675
2284,singasandra,600.0,2.0,36.5,2,6.083333333333333
2285,bisuvanahalli,1075.0,2.0,90.0,3,8.372093023255815
2287,kasavanhalli,1200.0,2.0,78.0,2,6.5
2288,sarjapur road,1233.0,2.0,77.65,2,6.297648012976481
2289,bannerghatta road,1255.0,2.0,65.26,2,5.200000000000001
2290,begur road,1200.0,2.0,37.8,2,3.1499999999999995
2291,varthur,2145.0,3.0,175.0,3,8.158508158508159
2292,1st phase jp nagar,1500.0,5.0,85.0,5,5.666666666666667
2293,kothannur,740.0,2.0,34.0,2,4.594594594594595
2294,kengeri,1250.0,3.0,48.0,3,3.84
2295,other,1210.0,2.0,40.0,2,3.3057851239669422
2296,sarjapur road,1525.0,2.0,60.0,3,3.9344262295081966
2297,kogilu,540.0,1.0,36.0,1,6.666666666666667
2298,tumkur road,1240.0,2.0,84.0,3,6.774193548387097
2299,subramanyapura,1245.0,2.0,68.0,3,5.461847389558233
2300,other,1865.0,3.0,350.0,3,18.766756032171582
2301,hosa road,1104.0,2.0,36.43,2,3.29981884057971
2302,bisuvanahalli,1075.0,2.0,35.99,3,3.347906976744186
2303,other,2200.0,2.0,55.0,2,2.5
2304,whitefield,1155.0,2.0,60.0,2,5.194805194805195
2305,other,1520.0,2.0,62.0,2,4.078947368421052
2306,thigalarapalya,3122.0,6.0,245.0,4,7.8475336322869955
2307,harlur,1290.0,2.0,85.0,2,6.589147286821706
2308,other,2300.0,3.0,80.0,3,3.4782608695652173
2309,other,3000.0,4.0,200.0,4,6.666666666666667
2310,whitefield,1276.0,4.0,270.0,4,21.15987460815047
2311,other,400.0,1.0,14.0,1,3.5
2312,banashankari,1340.0,2.0,53.6,3,4.0
2313,malleshwaram,900.0,2.0,95.0,2,10.555555555555555
2314,rajaji nagar,1800.0,4.0,324.0,6,18.0
2315,hennur road,987.0,2.0,49.0,2,4.964539007092198
2316,old madras road,1720.0,3.0,100.0,3,5.813953488372093
2317,hebbal,1040.0,2.0,50.0,2,4.8076923076923075
2318,anandapura,900.0,2.0,64.0,2,7.111111111111111
2319,raja rajeshwari nagar,1030.0,2.0,50.0,2,4.854368932038835
2320,other,2556.0,3.0,133.0,3,5.203442879499217
2321,basavangudi,1850.0,3.0,168.0,3,9.08108108108108
2322,kaval byrasandra,750.0,4.0,110.0,4,14.666666666666666
2323,balagere,1028.0,2.0,31.86,2,3.0992217898832686
2324,7th phase jp nagar,1270.0,2.0,83.0,2,6.535433070866142
2325,sahakara nagar,1655.0,3.0,115.0,3,6.948640483383686
2326,electronics city phase 1,940.0,2.0,40.0,2,4.25531914893617
2327,domlur,1050.0,2.0,85.0,2,8.095238095238095
2328,other,600.0,4.0,40.0,4,6.666666666666667
2329,other,946.0,2.0,38.0,2,4.016913319238901
2330,cv raman nagar,1726.0,3.0,145.0,3,8.400926998841252
2331,other,2121.0,4.0,253.0,3,11.92833569071193
2332,vittasandra,1404.0,2.0,75.0,2,5.3418803418803416
2333,sarjapur,1525.0,2.0,48.0,3,3.1475409836065573
2334,kengeri,1025.0,2.0,57.0,2,5.560975609756097
2335,other,1575.0,4.0,150.0,5,9.523809523809524
2336,other,860.0,1.0,43.0,2,5.0
2337,talaghattapura,1223.0,2.0,42.81,3,3.500408830744072
2338,other,3750.0,3.0,550.0,4,14.666666666666666
2339,kothannur,1197.0,2.0,47.8,2,3.9933166248955723
2340,other,1150.0,2.0,52.75,2,4.586956521739131
2341,other,4800.0,5.0,629.0,4,13.104166666666666
2342,r.t. nagar,1040.0,2.0,46.0,2,4.423076923076923
2343,banashankari,1310.0,2.0,80.0,2,6.106870229007634
2344,uttarahalli,1788.0,3.0,98.34,3,5.5
2345,raja rajeshwari nagar,1144.0,2.0,38.55,2,3.369755244755244
2346,other,1070.0,2.0,39.0,2,3.6448598130841123
2347,other,1200.0,2.0,70.0,2,5.833333333333333
2348,ambedkar nagar,1862.0,3.0,120.0,3,6.4446831364124595
2349,margondanahalli,1200.0,2.0,58.5,2,4.875
2350,begur road,970.0,2.0,27.0,2,2.783505154639175
2351,kasavanhalli,1646.0,3.0,79.5,3,4.8298906439854195
2352,sarjapur road,4395.0,4.0,242.0,4,5.506257110352673
2353,other,1200.0,4.0,100.0,5,8.333333333333334
2354,iblur village,1995.0,3.0,135.0,3,6.7669172932330826
2355,other,2400.0,4.0,450.0,4,18.75
2356,hosakerehalli,1085.0,2.0,47.74,2,4.4
2357,budigere,1139.0,2.0,56.8,2,4.986830553116769
2358,haralur road,1092.0,2.0,44.0,2,4.029304029304029
2359,other,1767.0,3.0,98.0,3,5.5461233729485
2360,other,1700.0,3.0,80.0,3,4.705882352941177
2361,bellandur,1692.0,3.0,88.0,3,5.200945626477542
2362,6th phase jp nagar,1645.0,3.0,100.0,3,6.079027355623101
2363,uttarahalli,1345.0,2.0,57.0,3,4.237918215613383
2364,other,1100.0,2.0,60.0,2,5.454545454545454
2365,other,1408.0,3.0,62.0,3,4.403409090909091
2366,banashankari stage iii,2400.0,4.0,240.0,4,10.0
2367,kadugodi,1920.0,4.0,200.0,4,10.416666666666666
2368,other,6040.0,4.0,170.0,5,2.814569536423841
2369,thigalarapalya,2072.0,4.0,150.0,3,7.239382239382239
2370,malleshwaram,1420.0,2.0,158.0,2,11.126760563380282
2371,electronics city phase 1,2040.0,3.0,137.0,3,6.715686274509804
2372,sarjapur road,1220.0,3.0,56.0,3,4.590163934426229
2373,8th phase jp nagar,1200.0,4.0,145.0,4,12.083333333333334
2374,other,1300.0,2.0,79.0,2,6.076923076923077
2375,electronics city phase 1,1150.0,2.0,39.0,2,3.391304347826087
2376,kr puram,1470.0,2.0,86.0,2,5.850340136054422
2377,hosa road,1063.0,2.0,31.9,2,3.0009407337723424
2378,other,1311.0,2.0,48.0,2,3.6613272311212817
2379,other,3500.0,4.0,350.0,4,10.0
2380,nagarbhavi,600.0,2.0,100.0,4,16.666666666666668
2381,other,1400.0,2.0,55.0,3,3.9285714285714284
2382,kanakpura road,2200.0,2.0,62.0,2,2.8181818181818183
2383,thanisandra,1430.0,2.0,56.0,3,3.9160839160839163
2384,vidyaranyapura,1060.0,2.0,55.0,2,5.188679245283019
2385,other,1000.0,2.0,110.0,3,11.0
2386,other,1760.0,3.0,145.0,3,8.238636363636363
2387,whitefield,2010.0,3.0,92.0,3,4.577114427860696
2388,kanakpura road,1480.0,2.0,64.23,3,4.339864864864865
2389,8th phase jp nagar,1230.0,2.0,43.5,3,3.5365853658536586
2390,gottigere,1300.0,3.0,65.0,3,5.0
2391,other,800.0,4.0,120.0,4,15.0
2392,frazer town,4850.0,6.0,385.0,4,7.938144329896907
2393,singasandra,1100.0,2.0,52.0,2,4.7272727272727275
2394,harlur,1752.12,3.0,116.0,3,6.620551103805675
2395,marathahalli,957.0,2.0,46.9,2,4.900731452455591
2396,balagere,790.5,1.0,41.9,1,5.300442757748261
2397,other,1942.0,3.0,102.0,3,5.25231719876416
2398,other,1000.0,2.0,53.0,2,5.3
2399,yeshwanthpur,668.0,1.0,36.85,1,5.516467065868263
2401,nagarbhavi,600.0,2.0,80.0,3,13.333333333333334
2402,uttarahalli,1089.0,2.0,43.55,2,3.999081726354454
2403,thanisandra,1800.0,3.0,90.0,3,5.0
2404,yelahanka new town,960.0,2.0,18.0,1,1.875
2405,yelahanka,1036.0,2.0,39.35,2,3.798262548262548
2406,marathahalli,1583.0,3.0,105.0,3,6.632975363234365
2407,7th phase jp nagar,3300.0,4.0,150.0,4,4.545454545454546
2408,padmanabhanagar,1100.0,2.0,65.0,2,5.909090909090909
2409,other,800.0,1.0,100.0,1,12.5
2410,vittasandra,1246.0,2.0,65.0,2,5.21669341894061
2411,dodda nekkundi,850.0,2.0,28.0,2,3.2941176470588234
2412,raja rajeshwari nagar,1196.0,2.0,51.51,2,4.30685618729097
2413,thanisandra,1697.0,3.0,114.0,3,6.7177371832645845
2414,tc palaya,1000.0,2.0,64.0,2,6.4
2415,other,1567.0,3.0,90.0,3,5.74345883854499
2416,anekal,1200.0,1.0,36.0,2,3.0
2417,sarjapur road,3750.0,6.0,290.0,4,7.733333333333333
2418,other,950.0,2.0,45.0,2,4.7368421052631575
2419,other,1022.0,2.0,52.0,2,5.088062622309198
2420,kammasandra,1018.0,2.0,23.45,2,2.3035363457760316
2421,other,2000.0,3.0,25.0,4,1.25
2422,other,1322.0,2.0,68.0,2,5.143721633888048
2423,other,1800.0,4.0,145.0,4,8.055555555555555
2424,other,1460.0,2.0,58.39,3,3.999315068493151
2425,other,990.0,2.0,44.55,2,4.5
2426,other,2400.0,3.0,260.0,3,10.833333333333334
2427,whitefield,1635.0,2.0,85.0,3,5.198776758409786
2428,rajaji nagar,3526.0,4.0,558.0,4,15.825297787861599
2429,padmanabhanagar,3400.0,3.0,210.0,4,6.176470588235294
2430,other,2770.0,3.0,460.0,3,16.60649819494585
2431,epip zone,3035.0,5.0,200.0,4,6.589785831960461
2432,other,1533.0,3.0,85.0,3,5.544683626875408
2433,akshaya nagar,1720.0,3.0,134.0,3,7.790697674418604
2434,frazer town,2000.0,3.0,200.0,3,10.0
2435,yeshwanthpur,1185.0,2.0,75.84,2,6.4
2436,other,900.0,2.0,27.0,2,3.0
2437,attibele,395.0,1.0,10.25,1,2.5949367088607596
2438,electronic city phase ii,1031.0,2.0,56.35,2,5.46556741028128
2439,other,2400.0,8.0,650.0,6,27.083333333333332
2440,thanisandra,2650.0,4.0,240.0,4,9.056603773584905
2441,basaveshwara nagar,2400.0,5.0,415.0,5,17.291666666666668
2442,uttarahalli,1330.0,2.0,46.55,3,3.5
2443,hennur,1259.0,2.0,57.0,2,4.527402700555997
2444,raja rajeshwari nagar,1570.0,3.0,88.0,3,5.6050955414012735
2445,bisuvanahalli,1075.0,2.0,36.0,3,3.3488372093023258
2446,whitefield,1216.0,2.0,79.0,2,6.496710526315789
2447,sarjapur road,1428.0,2.0,66.0,3,4.621848739495798
2448,begur road,1160.0,2.0,40.59,2,3.499137931034483
2449,other,600.0,2.0,110.0,3,18.333333333333332
2450,other,1475.0,3.0,70.0,3,4.745762711864407
2451,harlur,1754.0,3.0,135.0,3,7.696693272519955
2452,rayasandra,1639.0,3.0,83.0,3,5.064063453325199
2453,hennur road,1804.0,3.0,102.0,3,5.65410199556541
2454,whitefield,1200.0,3.0,56.2,3,4.683333333333334
2455,other,1135.0,2.0,55.0,2,4.845814977973569
2456,begur road,1260.0,2.0,46.62,2,3.7
2457,other,1440.0,5.0,110.0,5,7.638888888888889
2458,hennur road,2160.0,3.0,160.0,3,7.407407407407407
2459,rayasandra,700.0,6.0,85.0,7,12.142857142857142
2460,rachenahalli,1220.0,2.0,59.5,2,4.877049180327869
2461,margondanahalli,1200.0,2.0,67.0,2,5.583333333333333
2462,yelahanka,1300.0,2.0,65.0,2,5.0
2463,other,605.0,1.0,29.0,1,4.793388429752066
2464,vijayanagar,1230.0,4.0,210.0,6,17.073170731707318
2465,bhoganhalli,1444.0,2.0,75.97,2,5.261080332409972
2466,amruthahalli,924.0,2.0,45.0,2,4.87012987012987
2467,other,1000.0,2.0,30.0,2,3.0
2468,other,600.0,4.0,95.0,4,15.833333333333334
2469,other,1200.0,3.0,225.0,3,18.75
2470,bisuvanahalli,845.0,2.0,29.0,2,3.4319526627218937
2471,kanakpura road,700.0,2.0,35.0,2,5.0
2472,kothanur,1187.0,2.0,58.0,2,4.886267902274642
2473,kaggadasapura,1625.0,3.0,55.0,3,3.3846153846153846
2474,other,1200.0,2.0,83.0,2,6.916666666666667
2475,other,1452.55,2.0,110.0,2,7.5728890571753125
2476,other,2357.0,3.0,151.0,3,6.406448875689436
2477,kaval byrasandra,1200.0,2.0,49.5,2,4.125
2478,budigere,1139.0,2.0,56.85,2,4.9912203687445125
2479,basavangudi,600.0,1.0,97.5,1,16.25
2480,kanakpura road,1660.0,3.0,75.0,3,4.518072289156627
2481,other,1170.0,2.0,105.0,2,8.974358974358974
2482,somasundara palya,1448.0,2.0,68.0,2,4.696132596685083
2483,kadugodi,1762.0,3.0,110.0,3,6.242905788876277
2484,kaggadasapura,1105.0,2.0,38.65,2,3.497737556561086
2485,yelahanka,1825.0,3.0,105.0,3,5.7534246575342465
2487,other,1200.0,4.0,85.0,5,7.083333333333333
2488,thanisandra,1185.0,2.0,43.0,2,3.628691983122363
2489,electronic city phase ii,1320.0,2.0,38.12,3,2.8878787878787877
2490,hulimavu,1058.0,2.0,48.0,2,4.536862003780718
2491,bellandur,1220.0,2.0,60.0,2,4.918032786885246
2492,sarjapur,925.0,2.0,25.0,2,2.7027027027027026
2493,old madras road,1200.0,2.0,72.0,2,6.0
2494,kengeri,1160.0,2.0,40.6,3,3.5
2495,kengeri satellite town,600.0,4.0,72.0,3,12.0
2496,other,1411.0,3.0,91.72,3,6.500354358610914
2497,bannerghatta road,1550.0,3.0,78.0,3,5.032258064516129
2498,green glen layout,3250.0,4.0,230.0,4,7.076923076923077
2499,haralur road,2475.0,4.0,130.0,3,5.252525252525253
2500,jakkur,3181.0,2.0,260.5,4,8.189248663942157
2501,7th phase jp nagar,2503.0,4.0,188.0,4,7.510986815821015
2502,marathahalli,2524.0,5.0,190.0,4,7.527733755942948
2503,kaggadasapura,1063.0,2.0,42.0,2,3.951081843838194
2504,kanakpura road,1077.0,2.0,37.7,2,3.5004642525533893
2505,other,1200.0,3.0,44.0,2,3.6666666666666665
2506,hosakerehalli,1500.0,3.0,70.0,4,4.666666666666667
2507,jalahalli,1045.0,2.0,76.77,2,7.346411483253589
2508,kanakapura,1290.0,2.0,45.15,3,3.5
2509,hoodi,1400.0,2.0,78.0,2,5.571428571428571
2510,begur road,1600.0,3.0,58.14,3,3.63375
2511,other,3095.0,3.0,375.0,3,12.116316639741518
2512,other,1545.0,2.0,58.0,3,3.7540453074433655
2513,sarjapur road,1680.0,3.0,112.0,3,6.666666666666667
2514,other,1350.0,2.0,67.5,2,5.0
2515,gottigere,950.0,2.0,38.0,2,4.0
2516,thanisandra,1050.0,2.0,45.0,2,4.285714285714286
2517,other,1305.0,2.0,49.0,3,3.7547892720306515
2518,hosakerehalli,800.0,4.0,120.0,4,15.0
2519,kodichikkanahalli,2700.0,7.0,125.0,5,4.62962962962963
2520,other,1100.0,3.0,78.0,3,7.090909090909091
2521,thanisandra,3500.0,5.0,160.0,6,4.571428571428571
2522,begur road,1634.0,3.0,83.33,3,5.099755201958384
2523,other,1352.0,2.0,85.0,2,6.28698224852071
2524,balagere,1145.0,2.0,65.0,2,5.676855895196507
2525,other,1240.0,2.0,43.79,2,3.5314516129032256
2526,7th phase jp nagar,2200.0,3.0,190.0,3,8.636363636363637
2527,bommasandra industrial area,1020.0,2.0,39.0,2,3.823529411764706
2528,other,3600.0,4.0,365.0,4,10.13888888888889
2529,raja rajeshwari nagar,1168.0,2.0,61.0,2,5.222602739726027
2530,electronic city phase ii,1205.0,2.0,75.0,2,6.224066390041494
2531,yeshwanthpur,1195.0,2.0,100.0,2,8.368200836820083
2532,cv raman nagar,1028.0,2.0,49.0,2,4.766536964980545
2533,other,1175.0,2.0,48.27,2,4.108085106382979
2534,other,1550.0,2.0,90.0,3,5.806451612903226
2535,yeshwanthpur,1826.0,3.0,165.0,3,9.036144578313253
2536,hoodi,2400.0,5.0,160.0,5,6.666666666666667
2537,yelahanka,1603.0,3.0,96.0,3,5.988771054273237
2538,marathahalli,1350.0,3.0,72.0,3,5.333333333333333
2539,kr puram,714.0,1.0,28.0,1,3.9215686274509802
2540,whitefield,1215.0,2.0,65.0,2,5.349794238683128
2541,other,1405.0,2.0,77.0,3,5.480427046263345
2542,kr puram,1142.0,2.0,51.0,2,4.46584938704028
2543,other,4000.0,4.0,170.0,4,4.25
2544,whitefield,1870.0,3.0,90.0,3,4.81283422459893
2545,subramanyapura,1313.0,2.0,73.0,2,5.55978674790556
2546,other,1945.0,3.0,120.0,3,6.169665809768637
2547,thanisandra,1573.0,3.0,95.0,3,6.039415130324222
2548,sarjapur road,1255.0,2.0,92.0,2,7.330677290836653
2549,other,1400.0,3.0,91.15,4,6.510714285714286
2550,other,1235.0,2.0,43.63,2,3.5327935222672067
2551,sarjapur road,1380.0,2.0,52.0,3,3.7681159420289854
2552,ramamurthy nagar,1500.0,9.0,250.0,7,16.666666666666668
2553,vittasandra,1238.0,2.0,67.0,2,5.4119547657512115
2554,other,1465.0,2.0,74.72,3,5.1003412969283275
2555,thigalarapalya,1418.0,2.0,103.0,2,7.263751763046544
2556,other,1650.0,3.0,165.0,3,10.0
2557,anekal,351.0,1.0,16.0,1,4.5584045584045585
2558,uttarahalli,1279.0,2.0,48.0,2,3.7529319781078967
2559,kasavanhalli,1870.0,3.0,200.0,3,10.695187165775401
2560,other,1500.0,5.0,230.0,4,15.333333333333334
2561,hebbal,2526.0,2.0,250.0,3,9.897070467141726
2562,other,1550.0,2.0,150.0,3,9.67741935483871
2563,rajaji nagar,3539.5,2.0,424.5,4,11.99321938126854
2564,uttarahalli,1845.0,2.0,68.27,3,3.700271002710027
2565,other,1360.0,2.0,59.27,3,4.358088235294118
2566,other,1150.0,2.0,75.0,3,6.521739130434782
2567,whitefield,1260.0,2.0,49.5,2,3.9285714285714284
2568,other,1200.0,3.0,74.0,3,6.166666666666667
2569,other,965.0,2.0,42.5,2,4.404145077720207
2570,hoodi,1350.0,2.0,48.0,3,3.5555555555555554
2571,bhoganhalli,1447.0,2.0,75.97,2,5.250172771250864
2572,other,1229.0,3.0,86.03,3,7.0
2573,kudlu,1027.0,2.0,43.0,2,4.186952288218111
2574,gottigere,1153.0,2.0,48.5,2,4.206418039895924
2575,whitefield,2856.0,5.0,145.5,4,5.09453781512605
2576,other,1065.0,2.0,50.0,2,4.694835680751174
2577,other,1030.0,2.0,61.0,2,5.922330097087379
2578,other,1340.0,2.0,61.0,2,4.552238805970149
2579,marathahalli,4000.0,5.0,212.0,4,5.3
2580,other,600.0,1.0,32.0,1,5.333333333333333
2581,begur road,1410.0,2.0,44.42,3,3.150354609929078
2582,varthur,1055.0,2.0,45.35,2,4.298578199052133
2583,yelahanka,1304.0,2.0,79.0,2,6.058282208588957
2584,other,2720.0,4.0,485.0,4,17.830882352941178
2585,kammasandra,990.0,2.0,31.5,2,3.1818181818181817
2586,7th phase jp nagar,1035.0,2.0,39.33,2,3.8
2587,tumkur road,700.0,1.0,30.09,1,4.298571428571429
2588,sonnenahalli,1120.0,2.0,43.0,2,3.8392857142857144
2589,haralur road,1300.0,2.0,73.0,2,5.615384615384615
2590,tumkur road,1239.0,2.0,82.0,2,6.618240516545601
2591,sarjapur road,1403.0,3.0,51.63,3,3.6799714896650038
2592,hosa road,1365.0,2.0,92.0,2,6.73992673992674
2593,other,1165.0,2.0,135.0,2,11.587982832618026
2594,subramanyapura,1130.0,2.0,45.19,3,3.9991150442477874
2595,green glen layout,1776.42,3.0,105.0,3,5.910764346269463
2596,vidyaranyapura,900.0,4.0,175.0,4,19.444444444444443
2597,haralur road,1194.0,2.0,47.0,2,3.936348408710218
2598,other,1107.0,2.0,33.0,2,2.9810298102981028
2599,other,2319.0,3.0,180.0,3,7.7619663648124195
2600,other,1520.0,3.0,80.0,3,5.2631578947368425
2601,other,1536.0,3.0,89.0,3,5.794270833333333
2602,other,3000.0,4.0,240.0,4,8.0
2603,other,1050.0,2.0,38.0,2,3.619047619047619
2604,hoodi,1850.0,3.0,146.0,3,7.891891891891892
2605,other,1112.0,2.0,62.0,2,5.575539568345324
2606,marathahalli,1535.0,3.0,72.5,3,4.723127035830619
2607,kanakpura road,1050.0,2.0,35.0,2,3.3333333333333335
2608,banashankari,2400.0,3.0,370.0,4,15.416666666666666
2609,7th phase jp nagar,1250.0,3.0,65.0,3,5.2
2610,kalena agrahara,1187.0,2.0,52.0,2,4.380791912384161
2611,9th phase jp nagar,1164.0,2.0,56.0,2,4.810996563573883
2612,electronic city phase ii,1395.0,2.0,62.78,3,4.500358422939068
2613,other,2072.0,3.0,108.0,3,5.212355212355212
2614,kanakpura road,1450.0,3.0,60.91,3,4.200689655172414
2615,bannerghatta road,1550.0,3.0,82.0,3,5.290322580645161
2616,other,1315.0,2.0,90.0,2,6.844106463878327
2617,hebbal,3067.0,4.0,230.0,4,7.499184871209651
2618,other,1210.0,2.0,72.0,2,5.950413223140496
2619,bisuvanahalli,1075.0,2.0,47.0,3,4.372093023255814
2620,other,11338.0,9.0,1000.0,6,8.819897689186805
2621,other,1215.0,3.0,42.2,3,3.4732510288065845
2622,kaggadasapura,1470.0,2.0,75.0,3,5.1020408163265305
2623,other,30000.0,4.0,2100.0,4,7.0
2624,hosur road,1590.0,2.0,125.0,3,7.861635220125786
2625,kanakpura road,1050.0,2.0,36.75,2,3.5
2626,raja rajeshwari nagar,1306.0,2.0,55.91,2,4.281010719754977
2627,malleshwaram,2000.0,3.0,250.0,3,12.5
2628,other,1445.0,3.0,64.0,3,4.429065743944637
2629,sarjapur road,1220.0,3.0,58.0,3,4.754098360655738
2630,sarjapur,3190.0,3.0,160.0,4,5.015673981191223
2631,ramagondanahalli,1215.0,2.0,51.26,2,4.218930041152263
2632,budigere,1920.0,2.0,88.0,3,4.583333333333333
2633,dodda nekkundi,1390.0,2.0,60.0,2,4.316546762589928
2634,battarahalli,800.0,2.0,75.0,3,9.375
2635,nagarbhavi,600.0,3.0,100.0,3,16.666666666666668
2636,hoodi,1196.0,2.0,71.74,2,5.998327759197323
2637,bannerghatta road,1550.0,2.0,75.0,3,4.838709677419355
2638,thigalarapalya,1418.0,2.0,101.0,2,7.122708039492243
2639,other,1655.0,3.0,115.0,3,6.948640483383686
2640,kr puram,1115.0,2.0,33.45,2,3.0000000000000004
2641,other,1170.0,2.0,68.0,2,5.811965811965812
2642,anekal,1035.0,2.0,38.3,2,3.700483091787439
2643,singasandra,1306.0,2.0,58.0,3,4.44104134762634
2644,kengeri,750.0,2.0,22.0,2,2.933333333333333
